,ROUTE NO.,ROUTE LENGTH (km),PHASE,TERMINALS,BUS STOPS
0,Route 1,28,Operational,Khokrapar to Dockyard,"Khokrapar, Saudabd, RCD Ground, Kalaboard, Malir Halt, Colony Gate, Nata Khan Bridge, Drigh Road Station, PAF Base Faisal, Laal Kothi, Karsaz, Nursery, FTC, Regent Plaza, Metropole, Fawwara Chowk, Arts Council, Shaheen Complex, I.I.Chundrigar, Tower, Fisheries, and Dockyard"
1,Route 2,30,Operational,Power House to Indus Hospital,"Power House, UP Mor, Nagan Chowrangi, Shafiq Morr, Sohrab Goth, Gulshan Chowrangi, NIPA, Johar Morr, COD, Drigh Road Station, Colony Gate, Shah Faisal Colony, Singer Chowrangi, Khaddi Stop, and Indus Hospital"
2,Route 3,31,Operational,Power House to Nasir Jump,"Power House, UP More, Nagan Chowrangi, Sakhi Hasan, 5 Star Chowrangi, KDA Chowrangi, Board Office, Nazimabad Eid Gah Ground, Liaquatabad 10 Number, Essa Nagri, Civic Centre, National stadium, Karsaz, Nursery, FTC, Korangi Road, KPT Interchange upto Shan Chowrangi, Nasir Jump"
3,Route 4,21,Operational,Power House to Keamari,"Power House, UP Mor, Nagan Chowrangi, Shafiq Mor, Sohrab Goth, Water Pump, Ayesha Manzil, Karimabad , Liaqautabad 10, Laloo Khait, Teen Hati, Jehangir Road, Numaish, Mobile Market, Urdu Bazar, Civil Hospital, City Court, Light House, Bolton Market, Tower and Keamari"
4,Route 8,17,Operational,Yousuf Goth to Tower,"Yousuf Goth, Naval Colony, Baldia, Sher Shah, Gulbai, Agra Taj Colony, Daryabad, Jinnah Brige, and Tower"
5,Route 9,42,Operational,Gulshan e Hadeed to Tower,"Gulsahan e Hadeed, Salah Uddin Ayubi Road, Allah Wali Chowrangi, National Highway 5, Steel Mill More, Port Bin Qasim More, Razzakabad, Abdullah Goth, Chowkundi More, Fast University, Bhains Colony More, Manzil Pump, Quaidabad, Murghi Khana, Prince Aly Boys School, Nadra Center Malir, Malir Session Court, Malir 15, Kalaboard, Malir Halt, Colony Gate, Nata Khan Bridge, Drigh Road Station, PAF Base Faisal, Laal Kothi, Karsaz, Nursery, FTC, Regent Plaza, Metropole, Fawwara Chowk, Arts Council, Shaheen Complex and I.I.Chundrigar and Tower"
6,Route 10,28,Operational,Numaish Chowrangi to Ibrahim Hyderi,"Numaish Chowrangi, Mobile Market, Metropole, Frere Hall, Teen Talwar, Do TalwarAbdullah Shah Ghazi, Dolmen Mall, Clock Tower DHA, 26 Street, Masjid-e-Ayesha, Rahat Park, KPT Inter change, Korangi Crossing, CBM University, Parco, Ibrahim Hyderi"
7,Route 11,19,Operational,Miran Nakka to Shireen Jinnah Colony,"Miran Nakka, Gulistan Colony, Bihar Colony, Agra Taj, Daryabad, Jinnah Brige, Bahria Complex, M.T.Khan Road, PICD, Submarine Chowk, Bahria Complex 3, Khadda Market, Abdullah Shah Ghazi, Bilawal Chowrangi, Ziauddin Hospital, Shireen Jinnah Colony"
8,Route 12,31,Operational,Naddi Kinara to Lucky Star,"Naddi Kinara, Khokhrapar, Saudabad Chowrangi, RCD Ground, Kalaboard, Malir 15, Malir Mandir, Malir SessionÂ  Court, Murghi Khana, Quaidabad, Dawood Chowrangi, Babar Market, Landhi Road, Nasir Jump, Indus Hospital, Korangi Crossing, Qayyumabad, Defence Mor, National Medical Center, Gora Qabristan, FTC, Jutt Land, Lines Area, Army Public School, Lucky Star Saddar"
9,Route 13,20,Operational,Hawksbay to Tower,"Hawksbay, Mauripur, Gulbai, Agra Taj, Daryabad, Jinnah Brige, Tower"
10,EV-1,28,Operational,Malir Cantt to Dolmen Mall Clifton,"CMH Malir Cantt, Tank Chowk, Model Colony Mor, Jinnah Ave, Airport, Colony Gate, Nata Khan Bridge, Drigh Road Station, PAF Base Faisal, Laal Kothi, Karsaz, Nursery, FTC, Korangi Road, DHA Phase 1, Masjid e Ayesha, Clock Tower DHA, Dolmen Mall Clifton"
11,EV-2,30,Operational,Bahria Town to Malir Halt,"Bahria Town, Dumba Goth, Toll Plaza, Baqai University, Malir Cantt Gate 5, Malir Cantt Gate 6, Tank Chowk, Model Mor, Jinnah Ave, Malir Halt"
12,EV-3,20,Operational,Malir Cantt Check Post 5 to Numaish,"Malir Cantt Check Post 5, Rim Jhim Tower, Safoora Chowrangi, Mausamiyat Chowrangi, Kamran Chowrangi, Darul Sehat Hospital, Johar Chowrangi, Johar Mor, Millennium Mall, Dalmia Road, Bahria University, National Stadium, Aga Khan Hospital, Liaquat National Hospital, PIB Colony, Jail Chowrangi, Dawood Engineering University, Islamia College, People Secretariat Chowrangi, Numaish"
13,EV-4,34,Operational,Bahria Town to Ayesha Manzil,"Bahria Town, Dumba Goth, M9 Toll Plaza, Jamali Pull, New Sabzi Mandi, Al Asif, Sohrab Goth, Water Pump, Ayesha Manzil"
14,EV-5,41,Operational,DHA City To Sohrab Goth,"DHA City, Bahria Town, Dumba Goth, M9 Toll Plaza, Jamali Pull, New Sabzi Mandi, Al Asif, Sohrab Goth"
